"Word","fit1.coef1","fit1.coef1.p","fit1.coef2","fit1.coef2.p","fit1.aic","fit1.bic","fit1.loglik","fit2.coef1","fit2.coef1.p","fit2.coef2","fit2.coef2.p","fit2.coef3","fit2.coef3.p","fit2.aic","fit2.bic","fit2.loglik","Inquirer","SentiWordNetPositive","SentiWordNetNegative","SentiWordNetPolarity","MicroWNOpPositive","MicroWNOpNegative","MicroWNOpPolarity","MqapPolarity","MqapStrength","Predicted","Model","RawScore","NormedScore"
"a bit/r",-7.833886234782,2.59920775318293e-129,-0.0666220740058436,0.765722056648073,-11214.9420002611,22445.9783796466,-11214.9420002611,-7.44953262852529,8.51189233472366e-109,0.852876296689938,0.00139222642808708,-5.03972838734728,0.0000000000602290893645958,-405.535262484572,833.602655743221,-405.535262484572,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Quadratic",0.852876296689938,0.445850081645827
"a couple of/a",-9.42043605111172,0,-0.0782006499602588,0.719146906094289,-696.545751066265,1409.18588125687,-696.545751066265,-9.2713875457822,0,0.118376458835468,0.593647756242313,-1.49422271358544,0.00000000926130713638226,-88.7532110354365,200.038552844951,-88.7532110354365,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.118376458835468,0
"a few/a",-8.13746926518243,0,-0.100390180021558,0.572707859004661,-964.524262667555,1945.14290445945,-964.524262667555,-8.028913777288,0,0.0386828219176158,0.768818445921302,-1.08480431569756,0.00951156333144702,-128.217202134124,278.966535042325,-128.217202134124,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.0386828219176158,0
"a good deal/r",-12.0003843106339,2.67845564971731e-269,-0.0817502177674294,0.654217999930545,-274.085540199904,564.265459524149,-274.085540199904,-11.5877620615304,0,0.692686997082267,0.0261281729612584,-4.93941799407649,1.10905562715864e-92,-31.3566642845469,85.2454593431711,-31.3566642845469,NA,0.25,0,"positive",NA,NA,NA,NA,NA,"positive","Quadratic",0.692686997082267,0.352488322193667
"a great deal/r",-10.8346386227833,0,0.57660549739399,0.00452614708904229,-209.259482645046,434.613344414432,-209.259482645046,-10.6565495574629,0,1.15392700266559,0.000815087282657756,-2.46301824754757,0.0000541195999011793,-55.5668814349134,133.665893643904,-55.5668814349134,NA,0.375,0,"positive",NA,NA,NA,NA,NA,"positive","Quadratic",1.15392700266559,0.621308889837382
"a hundred times/r",-13.8738955549024,7.71158022357078e-201,0.279102845134742,0.216955178077095,-100.235480615868,216.565340356078,-100.235480615868,-14.1845004760276,8.05330132432984e-224,-0.0830428059974576,0.551211560799545,2.65398798471487,0.00000000000000000237739945754488,-62.3237432744276,147.179617322933,-62.3237432744276,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",-0.0830428059974576,0
"a la carte/a",-14.8976999602091,0.0000000000000000000962685022800058,0.205762977881545,0.405393536247312,-45.0527331359267,106.199845396194,-45.0527331359267,-14.6248220733449,0.000000000000000000172794518526295,0.707236169709027,0.0029119872003793,-3.08188340879358,0.0000000000528389953831974,-20.986629862976,64.5053905000295,-20.986629862976,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Quadratic",0.707236169709027,0.360967892042179
"a la carte/r",-14.8976999602091,0.0000000000000000000962685022800058,0.205762977881545,0.405393536247312,-45.0527331359267,106.199845396194,-45.0527331359267,-14.6248220733449,0.000000000000000000172794518526295,0.707236169709027,0.0029119872003793,-3.08188340879358,0.0000000000528389953831974,-20.986629862976,64.5053905000295,-20.986629862976,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Quadratic",0.707236169709027,0.360967892042179
"a little/r",-7.65552776117317,9.79394195856992e-128,0.102920853802253,0.614251532800647,-8936.66838520708,17889.4311495385,-8936.66838520708,-7.34325049226736,4.39086305778355e-97,0.96105924117169,0.00121485207595991,-4.23941283992234,0.00000912460297949075,-471.183636849718,964.899404473514,-471.183636849718,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Quadratic",0.96105924117169,0.508901421930532
"a lot/r",-7.92700346198292,0,-0.0569549159586583,0.783661998991633,-1945.42414013999,3906.94265940431,-1945.42414013999,-7.77232897826242,8.96318030408996e-260,0.176612169312662,0.156269949294655,-1.62835994719762,0.00705887495008582,-90.0018223167338,202.535775407545,-90.0018223167338,NA,0.25,0,"positive",NA,NA,NA,NA,NA,"neutral","None",0.176612169312662,0
